総額(万),家賃(万),管理費(円),物件名,間取り,面積,階,築年,構造,最寄り駅,徒歩(分),桜木町(分),路線,区,犯罪率(‰),所在地,敷/礼,バストイレ別,オートロック,エアコン,洗濯機置場,洗面台,モニタホン,宅配BOX,都市ガス,システムキッチン,IH,ガスコンロ可,物件ページ
4.5,4.2,3000,根岸線 山手駅 3階建 築42年,1R,13.51㎡,3,42,鉄筋コンクリート,山手,9,7,JR京浜東北・根岸線,中区,11.11,神奈川県横浜市中区豆口台,敷 なし / 礼 なし,,,○,○,,,○,○,,,,https://realestate.yahoo.co.jp/rent/detail/_000008864162e4af517d094cb85823df09db36fcb672/
4.5,4.2,3000,東急東横線 綱島駅 5階建 築27年,1R,12.9㎡,3,27,鉄筋コンクリート,綱島,8,21,東急東横線,港北区,4.78,神奈川県横浜市港北区綱島東3,敷 4.2万円 / 礼 なし,,,○,○,,,,○,,○,,https://realestate.yahoo.co.jp/rent/detail/_000002001680b5fe424564ed803720f8cb24723ae4ae/
4.5,4.2,3000,東海道本線 戸塚駅 5階建 築39年,1R,18.24㎡,3,39,鉄筋コンクリート,戸塚,18,25,ブルーライン,戸塚区,4.08,神奈川県横浜市戸塚区下倉田町,敷 4.2万円 / 礼 なし,,,○,○,,○,○,,,○,,https://realestate.yahoo.co.jp/rent/detail/_00000373952087c9cd87e004287bfee17313d05132f3/
4.5,4.2,3000,ガーデンヒルズ横浜,1R,18.24㎡,3,39,鉄筋コンクリート,戸塚,18,25,ブルーライン,戸塚区,4.08,神奈川県横浜市戸塚区下倉田町,敷 4.2万円 / 礼 なし,,,○,○,,○,○,,,○,,https://realestate.yahoo.co.jp/rent/detail/00000129248587c9cd87e004287bfee17313d05132f3/
4.5,4.2,3000,ガーデンヒルズ横浜,1R,18.2㎡,3,39,鉄筋コンクリート,戸塚,18,25,ブルーライン,戸塚区,4.08,神奈川県横浜市戸塚区下倉田町,敷 4.2万円 / 礼 なし,,,○,○,,○,○,,○,○,,https://realestate.yahoo.co.jp/rent/detail/0000012924853ea262616d649ac39261aa921abf9985/
4.5,4.4,1000,エミグランド妙蓮寺,1R,16.51㎡,3,36,鉄筋コンクリート,白楽,12,13,東急東横線,港北区,4.78,神奈川県横浜市港北区仲手原1,敷 なし / 礼 4.4万円,,○,○,○,,○,,○,○,,,https://realestate.yahoo.co.jp/rent/detail/0000008805368e1c2887feed622742a2cd4a4057f6e8/
4.5,4.5,0,ロイヤル石川町,1R,11.18㎡,6,41,鉄骨鉄筋コンクリート,伊勢佐木長者町,10,4,ブルーライン,中区,11.11,神奈川県横浜市中区松影町3,敷 なし / 礼 なし,,○,○,,,,,,○,○,,https://realestate.yahoo.co.jp/rent/detail/0000008837630e6d24fd2be80e4e1643e683559fc90e/
4.5,4.5,0,根岸線 石川町駅 9階建 築41年,1R,11.18㎡,6,41,鉄骨鉄筋コンクリート,伊勢佐木長者町,10,4,ブルーライン,中区,11.11,神奈川県横浜市中区松影町3,敷 なし / 礼 なし,,○,○,,,,,,○,○,,https://realestate.yahoo.co.jp/rent/detail/_0000008837630e6d24fd2be80e4e1643e683559fc90e/
4.5,4.5,0,光和マンション,1R,17.8㎡,3,35,鉄骨,吉野町,2,8,ブルーライン,南区,3.93,神奈川県横浜市南区二葉町4,敷 4.5万円 / 礼 なし,,,○,○,,,,○,,,○,https://realestate.yahoo.co.jp/rent/detail/000001044521e2712c96740acdb5d37343fe2b90ec4d/
4.5,4.5,0,メゾン生麦,1R,15.04㎡,3,37,鉄骨,新子安,12,9,JR京浜東北・根岸線,鶴見区,5.87,神奈川県横浜市鶴見区生麦1,敷 なし / 礼 なし,,,○,,,○,,,,○,,https://realestate.yahoo.co.jp/rent/detail/0000010883433e4896ca157de15bbfedab70d0667a3d/
4.5,4.5,0,メゾン生麦,1R,17㎡,3,37,鉄骨,鶴見,,12,JR京浜東北・根岸線,鶴見区,5.87,神奈川県横浜市鶴見区生麦1,敷 なし / 礼 なし,,,○,,,,,,,,,https://realestate.yahoo.co.jp/rent/detail/000001088343497e91d031eec20324ed447f91b92db7/
4.5,4.5,0,JR京浜東北・根岸線 鶴見駅 5階建 築37年,1R,17㎡,3,37,鉄骨,鶴見,,12,JR京浜東北・根岸線,鶴見区,5.87,神奈川県横浜市鶴見区生麦001,敷 なし / 礼 なし,,,○,,,,,,,,,https://realestate.yahoo.co.jp/rent/detail/_000001088343497e91d031eec20324ed447f91b92db7/
4.5,4.5,0,ヴィラエスポワール保土ケ谷,1R,16㎡,5,39,鉄筋コンクリート,井土ケ谷,16,14,京急本線,南区,3.93,神奈川県横浜市保土ヶ谷区岩井町,敷 なし / 礼 なし,,,○,○,,○,,,,○,,https://realestate.yahoo.co.jp/rent/detail/00000124707198804f44839c965179707c580fb4382e/
4.5,4.5,0,ツバサビル,1R,23㎡,5,27,鉄筋コンクリート,港南台,14,23,JR京浜東北・根岸線,港南区,4.75,神奈川県横浜市港南区日野南6,敷 4.5万円 / 礼 4.5万円,,,,○,,,,,,,,https://realestate.yahoo.co.jp/rent/detail/00000122306392febbb692b7a83c1427c4ab6b0ccb6e/
4.5,4.5,0,東海道本線 戸塚駅 3階建 築37年,1R,17.12㎡,3,37,鉄筋コンクリート,戸塚,21,25,ブルーライン,戸塚区,4.08,神奈川県横浜市戸塚区戸塚町,敷 4.5万円 / 礼 なし,,,○,○,,,,,,,,https://realestate.yahoo.co.jp/rent/detail/_000004033791677ed282d47721cbd724ba9eb427bb49/
4.5,4.5,0,カサベルデ中村,1R,17㎡,3,34,鉄骨,本郷台,26,26,JR京浜東北・根岸線,栄区,3.34,神奈川県横浜市栄区長沼町,敷 なし / 礼 なし,,,○,,,,,,,,,https://realestate.yahoo.co.jp/rent/detail/000001631588497e91d031eec20324ed447f91b92db7/
4.5,4.5,0,Sビルコーポ,1R,17.12㎡,3,37,鉄筋コンクリート,踊場,28,28,ブルーライン,泉区,4.36,神奈川県横浜市戸塚区戸塚町,敷 4.5万円 / 礼 なし,,,○,○,,,,,,,,https://realestate.yahoo.co.jp/rent/detail/000001263712677ed282d47721cbd724ba9eb427bb49/
4.6,3.6,10000,トップ上永谷,1R,14.27㎡,5,40,鉄筋コンクリート,上永谷,7,18,ブルーライン,港南区,4.75,神奈川県横浜市港南区上永谷2,敷 なし / 礼 なし,,,○,○,○,○,,,,○,,https://realestate.yahoo.co.jp/rent/detail/0000067218802ba781e5facb16cfb966f3aa1bdaa576/
4.6,4.05,5500,JR横須賀線 新川崎駅 4階建 築39年,1R,16.54㎡,4,39,鉄筋コンクリート,新川崎,20,15,JR横須賀線,幸区,5.98,神奈川県川崎市幸区南加瀬4,敷 4.05万円 / 礼 なし,,,○,○,○,○,,○,○,○,,https://realestate.yahoo.co.jp/rent/detail/_0000011378925dbe5cc58041dfcbcc2666177b19b2ac/
4.6,4.05,5500,スカイコート日吉第2,1R,16.54㎡,4,39,鉄筋コンクリート,新川崎,20,15,JR横須賀線,幸区,5.98,神奈川県川崎市幸区南加瀬4,敷 4.05万円※ / 礼 なし,○,,○,○,○,,,○,,○,,https://realestate.yahoo.co.jp/rent/detail/0000011378925dbe5cc58041dfcbcc2666177b19b2ac/
4.6,4.1,5000,根岸線 山手駅 5階建 築40年,1R,15.07㎡,3,40,鉄筋コンクリート,山手,5,7,JR京浜東北・根岸線,中区,11.11,神奈川県横浜市中区大和町1,敷 4.1万円 / 礼 なし,,,○,,,,,○,○,○,,https://realestate.yahoo.co.jp/rent/detail/_0000011187257a52d8e25dba60b21613c73010ba6890/
4.6,4.1,5000,京急本線 黄金町駅 5階建 築39年,1R,16㎡,5,39,鉄筋コンクリート,黄金町,10,10,京急本線,南区,3.93,神奈川県横浜市西区霞ケ丘,敷 なし / 礼 なし,,○,○,○,,,○,○,○,○,,https://realestate.yahoo.co.jp/rent/detail/_00000401717230408ac7f036052eafadd4d4c9722765/
4.6,4.1,5000,メゾン・ド・セヴェールNo.1,1R,16㎡,5,39,鉄筋コンクリート,黄金町,10,10,京急本線,南区,3.93,神奈川県横浜市西区霞ケ丘,敷 なし / 礼 なし,,○,○,○,,,○,○,○,○,,https://realestate.yahoo.co.jp/rent/detail/00000401717230408ac7f036052eafadd4d4c9722765/
4.6,4.4,2000,相模鉄道本線 天王町駅 3階建 築39年,1R,14.88㎡,3,39,鉄筋コンクリート,天王町,3,14,相鉄本線,保土ケ谷区,3.99,神奈川県横浜市保土ヶ谷区岩間町1,敷 4.4万円 / 礼 なし,,,○,○,,○,○,○,○,○,,https://realestate.yahoo.co.jp/rent/detail/_000002196906ae3add9f89ce15faece90d9a2d93bbf3/
4.6,4.4,2000,パレス天王町,1R,14.88㎡,3,39,鉄筋コンクリート,天王町,3,14,相鉄本線,保土ケ谷区,3.99,神奈川県横浜市保土ヶ谷区岩間町1,敷 4.4万円※ / 礼 なし,,,○,○,,○,○,○,○,○,,https://realestate.yahoo.co.jp/rent/detail/000002196906ae3add9f89ce15faece90d9a2d93bbf3/
4.6,4.4,2000,ランドール岸根公園,1R,16.3㎡,3,35,鉄筋コンクリート,岸根公園,2,15,ブルーライン,港北区,4.78,神奈川県横浜市港北区篠原町,敷 なし / 礼 なし,,,○,○,,○,,○,○,,,https://realestate.yahoo.co.jp/rent/detail/000008366193b44b3909c69831634c853c3d3f45ad9f/
4.6,4.6,0,横浜市営地下鉄ブルーライン 蒔田駅 5階建 築34年,1R,16.02㎡,3,34,鉄筋コンクリート,蒔田,10,10,ブルーライン,南区,3.93,神奈川県横浜市南区堀ノ内町2,敷 なし / 礼 なし,,○,○,○,,,,,,○,○,https://realestate.yahoo.co.jp/rent/detail/_000000881597a96292fbe133a0659bd650a1e1a6abb5/
4.6,4.6,0,コンドミニアム蒔田,1R,16.02㎡,3,34,鉄筋コンクリート,蒔田,10,10,ブルーライン,南区,3.93,神奈川県横浜市南区堀ノ内町2,敷 なし / 礼 なし,,○,○,○,,,,,,○,○,https://realestate.yahoo.co.jp/rent/detail/000000881597a96292fbe133a0659bd650a1e1a6abb5/
4.6,4.6,0,野地ハイツ,1R,12.04㎡,3,35,鉄骨,川崎,,16,JR京浜東北・根岸線,川崎区,10.65,神奈川県川崎市川崎区浅田3,敷 4.6万円 / 礼 なし,,,○,○,,,,,,○,,https://realestate.yahoo.co.jp/rent/detail/0000010373469ff21c09921f9df2b01dd9b531f8b714/
4.6,4.6,0,トップ川崎第八,1R,14.7㎡,4,39,鉄筋コンクリート,川崎,,16,JR京浜東北・根岸線,川崎区,10.65,神奈川県川崎市川崎区四谷上町,敷 4.6万円 / 礼 4.6万円,,,○,,,,,○,○,,,https://realestate.yahoo.co.jp/rent/detail/000001113775de9e60b77c7029c8b6f97115d9f16901/
4.7,4.2,5000,クリオ蒔田壱番館,1R,19.55㎡,4,38,鉄筋コンクリート,蒔田,4,10,ブルーライン,南区,3.93,神奈川県横浜市南区榎町2,敷 なし / 礼 なし,,,○,○,○,○,,○,○,○,○,https://realestate.yahoo.co.jp/rent/detail/0000046852517a61b719091106a580c93ac16db51740/
4.7,4.2,5000,横浜市営地下鉄ブルーライン 蒔田駅 5階建 築38年,1R,19.55㎡,4,38,鉄筋コンクリート,蒔田,4,10,ブルーライン,南区,3.93,神奈川県横浜市南区榎町2,敷 なし / 礼 なし,,,○,○,,,,,,○,,https://realestate.yahoo.co.jp/rent/detail/_0000056025947a61b719091106a580c93ac16db51740/
4.7,4.5,2000,ライオンズマンション戸塚町第2,1R,16.09㎡,3,39,鉄筋コンクリート,踊場,18,28,ブルーライン,泉区,4.36,神奈川県横浜市戸塚区戸塚町,敷 なし / 礼 なし,,○,○,○,,○,,○,,○,,https://realestate.yahoo.co.jp/rent/detail/000001019540d456b50143410633fc84a07199129c7b/
4.7,4.7,0,ポートハイツ片倉,1R,16.5㎡,3,36,木造,片倉町,5,13,ブルーライン,神奈川区,4.71,神奈川県横浜市神奈川区片倉5,敷 4.7万円 / 礼 なし,,,○,○,,,○,,,○,,https://realestate.yahoo.co.jp/rent/detail/00000269961904640847630ff87f7e08a1769feed594/
4.7,4.7,0,富士屋商会第2ビル,1R,16.5㎡,4,34,鉄骨,子安,17,13,京急本線,神奈川区,4.71,神奈川県横浜市神奈川区大口仲町,敷 4.7万円 / 礼 なし,,,○,○,,,,○,,○,,https://realestate.yahoo.co.jp/rent/detail/000001076520bd0d184f09dc3f25129dae5e602e9b0d/
4.7,4.7,0,リバー綱島,1R,17㎡,4,21,鉄骨,大倉山,18,19,東急東横線,港北区,4.78,神奈川県横浜市港北区樽町4,敷 5.5万円 / 礼 なし,,,○,,,,,,,○,,https://realestate.yahoo.co.jp/rent/detail/000001307343d925547e6766d750e4202359749db8d1/
4.8,3.0,18000,ルミネス,1R,9.6㎡,4,42,鉄筋コンクリート,川崎,7,16,JR京浜東北・根岸線,川崎区,10.65,神奈川県川崎市川崎区南町,敷 なし / 礼 なし,,,○,,,,,,,,,https://realestate.yahoo.co.jp/rent/detail/000007646944d8d2968abed37a71ddd8a49e245c8ac2/
4.8,3.0,18000,JR京浜東北・根岸線 川崎駅 4階建 築42年,1R,9.6㎡,4,42,鉄筋コンクリート,川崎,7,16,JR京浜東北・根岸線,川崎区,10.65,神奈川県川崎市川崎区南町,敷 なし / 礼 なし,,,○,,,,,,,,,https://realestate.yahoo.co.jp/rent/detail/_000004157779d8d2968abed37a71ddd8a49e245c8ac2/
4.8,3.8,10000,メゾンドポワリエ,1R,16.64㎡,3,38,鉄筋コンクリート,阪東橋,2,6,ブルーライン,南区,3.93,神奈川県横浜市南区高根町3,敷 なし / 礼 なし,,○,○,,,,,,○,○,,https://realestate.yahoo.co.jp/rent/detail/000001283602d0158cd5822c7eabde18264ccd7d694d/
4.8,3.8,10000,横浜市営地下鉄ブルーライン 阪東橋駅 11階建 築39年,1R,16.64㎡,3,39,鉄骨鉄筋コンクリート,阪東橋,2,6,ブルーライン,南区,3.93,神奈川県横浜市南区高根町3,敷 なし / 礼 なし,,○,○,,,,,,○,○,,https://realestate.yahoo.co.jp/rent/detail/_000001283602d0158cd5822c7eabde18264ccd7d694d/
4.8,3.8,10000,横浜市営地下鉄ブルーライン 上永谷駅 5階建 築40年,1R,14.27㎡,5,40,鉄筋コンクリート,上永谷,7,18,ブルーライン,港南区,4.75,神奈川県横浜市港南区上永谷2,敷 なし / 礼 なし,,,○,○,,○,,,○,,,https://realestate.yahoo.co.jp/rent/detail/_000006721880031dfad0cbc7854b8b56d06ba4162039/
4.8,4.1,7000,トップ片倉第一,1R,15.66㎡,4,39,鉄筋コンクリート,片倉町,7,13,ブルーライン,神奈川区,4.71,神奈川県横浜市神奈川区片倉4,敷 2.05万円※ / 礼 なし,,,○,○,,,,,,○,○,https://realestate.yahoo.co.jp/rent/detail/00000231727653cd430a7e707e3eda25ac9b293d222e/
4.8,4.1,7000,横浜市営地下鉄ブルーライン 片倉町駅 5階建 築39年,1R,15.66㎡,4,39,鉄筋コンクリート,片倉町,9,13,ブルーライン,神奈川区,4.71,神奈川県横浜市神奈川区片倉4,敷 2.05万円 / 礼 なし,,,○,○,,,,,,○,○,https://realestate.yahoo.co.jp/rent/detail/_00000231727653cd430a7e707e3eda25ac9b293d222e/
4.8,4.2,6000,メゾン・ド・モワイエ,1R,16.5㎡,3,39,鉄筋コンクリート,武蔵小杉,26,23,東急東横線,中原区,4.01,神奈川県川崎市中原区下小田中1,敷 なし / 礼 なし,,○,○,,○,○,,,○,○,,https://realestate.yahoo.co.jp/rent/detail/0000037357773be7e5105a213827f9319d4d301d8117/
4.8,4.2,6000,東急東横線 武蔵小杉駅 5階建 築39年,1R,16.5㎡,3,39,鉄筋コンクリート,武蔵小杉,26,23,東急東横線,中原区,4.01,神奈川県川崎市中原区下小田中1,敷 なし / 礼 なし,,○,○,,,,,,○,○,,https://realestate.yahoo.co.jp/rent/detail/_0000037357773be7e5105a213827f9319d4d301d8117/
4.8,4.3,5000,横浜市営地下鉄ブルーライン 阪東橋駅 6階建 築37年,1R,19.65㎡,3,37,鉄筋コンクリート,阪東橋,7,6,ブルーライン,南区,3.93,神奈川県横浜市南区真金町1,敷 4.3万円 / 礼 なし,,○,○,○,,,,○,,,○,https://realestate.yahoo.co.jp/rent/detail/_00000171952649a9062a371618f45cd2fde0d7166882/
4.8,4.3,5000,藤井ビル,1R,19.65㎡,3,37,鉄筋コンクリート,阪東橋,7,6,ブルーライン,南区,3.93,神奈川県横浜市南区真金町1,敷 4.3万円 / 礼 なし,,○,○,○,,,,○,,,○,https://realestate.yahoo.co.jp/rent/detail/00000171952649a9062a371618f45cd2fde0d7166882/
4.8,4.3,5000,相模鉄道本線 西横浜駅 10階建 築34年,1R,16.25㎡,6,34,鉄筋コンクリート,戸部,8,10,京急本線,西区,14.14,神奈川県横浜市西区中央2,敷 なし / 礼 なし,,○,○,○,,,,,,,,https://realestate.yahoo.co.jp/rent/detail/_000001194158f94f7549ce619e923755ab885c4e3e11/
4.8,4.3,5000,クリオ西横浜壱番館,1R,16.08㎡,3,36,鉄筋コンクリート,戸部,11,10,京急本線,西区,14.14,神奈川県横浜市西区中央2,敷 なし / 礼 なし,,○,○,○,,,,○,,,,https://realestate.yahoo.co.jp/rent/detail/000001475864d7747edc7ab62ffa87b2168bf33a4941/
4.8,4.3,5000,エスポワール新横浜,1R,15.5㎡,3,35,ALC,岸根公園,10,15,ブルーライン,港北区,4.78,神奈川県横浜市港北区岸根町,敷 なし / 礼 なし,,,○,○,,○,,○,,○,,https://realestate.yahoo.co.jp/rent/detail/0000021775490cd92a052e6ea68f4f0f548d1bed3c6a/
4.8,4.4,4000,メゾンドグラン戸塚,1R,16.5㎡,3,38,鉄筋コンクリート,中田,28,30,ブルーライン,泉区,4.36,神奈川県横浜市戸塚区戸塚町,敷 なし / 礼 なし,,,○,○,○,○,,,○,○,,https://realestate.yahoo.co.jp/rent/detail/000001857135ddfaf31696c55698b3e392067b68b4e5/
4.8,4.4,4000,東海道本線 戸塚駅 地上4階建て 築38年,1R,16.5㎡,3,38,鉄筋コンクリート,中田,28,30,ブルーライン,泉区,4.36,神奈川県横浜市戸塚区戸塚町,敷 なし / 礼 なし,,,○,○,○,○,,,○,○,,https://realestate.yahoo.co.jp/rent/detail/_000001857135ddfaf31696c55698b3e392067b68b4e5/
4.8,4.4,4000,ソレイユ ヤマト,1R,16.56㎡,5,41,鉄筋コンクリート,瀬谷,29,31,相鉄本線,瀬谷区,5.34,神奈川県大和市中央1,敷 なし / 礼 なし,,,○,,,○,,○,,○,,https://realestate.yahoo.co.jp/rent/detail/0000023123988dc79816bda0c0bc93eaca3dce0d5de1/
4.8,4.5,3000,ハイライフ鶴見,1R,15.4㎡,3,39,鉄骨,鶴見,14,12,JR京浜東北・根岸線,鶴見区,5.87,神奈川県横浜市鶴見区下野谷町1,敷 なし / 礼 なし,,,○,○,,○,,,,○,,https://realestate.yahoo.co.jp/rent/detail/00000130574576aec723c967d260b690a20ac6424f84/
4.8,4.5,3000,相模鉄道本線 西横浜駅 10階建 築34年,1R,19.54㎡,4,34,鉄筋コンクリート,天王町,7,14,相鉄本線,保土ケ谷区,3.99,神奈川県横浜市西区久保町,敷 なし / 礼 なし,○,,○,,,,,○,○,○,,https://realestate.yahoo.co.jp/rent/detail/_0000037545157efbbc419c211617a5ffd746d1c83680/
4.8,4.5,3000,ポートハイム西横浜,1R,19.54㎡,4,34,鉄骨鉄筋コンクリート,天王町,7,14,相鉄本線,保土ケ谷区,3.99,神奈川県横浜市西区久保町,敷 なし / 礼 なし,○,,○,,,,,○,○,○,,https://realestate.yahoo.co.jp/rent/detail/0000037545157efbbc419c211617a5ffd746d1c83680/
4.8,4.5,3000,JR横須賀線 新川崎駅 4階建 築36年,1R,17.94㎡,3,36,鉄筋コンクリート,新川崎,24,15,JR横須賀線,中原区,4.01,神奈川県川崎市中原区木月4,敷 なし / 礼 なし,,○,○,○,,,,,○,○,,https://realestate.yahoo.co.jp/rent/detail/_000001651108a709130f6f093b114ec470802fa5a8a8/
4.8,4.5,3000,メゾン・ド・ヴェリテ,1R,17.94㎡,3,36,鉄筋コンクリート,新川崎,23,15,JR横須賀線,中原区,4.01,神奈川県川崎市中原区木月4,敷 なし / 礼 なし,,○,○,○,○,,,○,,○,,https://realestate.yahoo.co.jp/rent/detail/000001651108a709130f6f093b114ec470802fa5a8a8/
4.8,4.5,3000,クレッセント深沢,1R,13.33㎡,3,41,鉄筋コンクリート,自由が丘,18,30,東急東横線,世田谷区,9.9,東京都世田谷区深沢3,敷 なし / 礼 なし,,,○,○,,,,○,,○,,https://realestate.yahoo.co.jp/rent/detail/000002411533d2da8df2a0224a8d7d032dee805910e7/
4.8,4.5,3000,東急東横線 自由が丘駅 3階建 築41年,1R,13.33㎡,3,41,鉄筋コンクリート,自由が丘,24,30,東急東横線,世田谷区,9.9,東京都世田谷区深沢3,敷 なし / 礼 なし,,,○,○,,,,○,,○,,https://realestate.yahoo.co.jp/rent/detail/_000002411533d2da8df2a0224a8d7d032dee805910e7/
4.8,4.8,0,トップルーム横浜,1R,11.09㎡,5,41,鉄骨鉄筋コンクリート,戸部,6,10,京急本線,西区,14.14,神奈川県横浜市西区平沼1,敷 なし / 礼 4.8万円,○,,○,,,,,,,,,https://realestate.yahoo.co.jp/rent/detail/0000008761424f813ff28bb2c640e287fae6520e6b2d/
4.8,4.8,0,ベルトピア日吉II,1R,16.42㎡,4,37,鉄筋コンクリート,新川崎,35,15,JR横須賀線,港北区,4.78,神奈川県横浜市港北区日吉7,敷 なし / 礼 なし,,○,○,○,,,,○,,○,,https://realestate.yahoo.co.jp/rent/detail/000001069612532170cebec843d4a8dee138a03b4cae/
4.8,4.8,0,遠田ビル,1R,16.8㎡,3,38,鉄骨,上永谷,1,18,ブルーライン,港南区,4.75,神奈川県横浜市港南区丸山台2,敷 4.8万円 / 礼 4.8万円,,,○,,,,,○,,,,https://realestate.yahoo.co.jp/rent/detail/000004421979afe9c0bc12590175cf4b273d76f2e473/
4.8,4.8,0,TOP港南台第一,1R,15.33㎡,3,39,鉄筋コンクリート,港南台,13,23,JR京浜東北・根岸線,港南区,4.75,神奈川県横浜市港南区港南台1,敷 なし / 礼 なし,,,○,○,○,,,○,○,○,,https://realestate.yahoo.co.jp/rent/detail/000001250231bb71d256e8c941fee3ab84d217b1f825/
4.8,4.8,0,ヴァンハウス戸塚,1R,16.2㎡,3,35,鉄筋コンクリート,踊場,3,28,ブルーライン,泉区,4.36,神奈川県横浜市泉区中田南1,敷 4.8万円 / 礼 4.8万円,,○,○,○,,○,,○,○,○,,https://realestate.yahoo.co.jp/rent/detail/00000100428096459fba2a791f1602d08d0037613a76/
4.81,4.6,2100,JR京浜東北・根岸線 川崎駅 3階建 築36年,1R,9.31㎡,3,36,その他,川崎,,16,JR京浜東北・根岸線,川崎区,10.65,神奈川県川崎市川崎区大師本町,敷 なし / 礼 なし,,,○,○,,,,○,,,,https://realestate.yahoo.co.jp/rent/detail/_00000831174074eb67167f7edd3a506e764b8e392216/
4.9,4.3,6000,横浜市営地下鉄ブルーライン 阪東橋駅 5階建 築39年,1R,16㎡,3,39,鉄筋コンクリート,阪東橋,9,6,ブルーライン,南区,3.93,神奈川県横浜市南区中村町4,敷 なし / 礼 なし,,○,○,○,○,,○,,○,○,,https://realestate.yahoo.co.jp/rent/detail/_00000087521869849b03892acb20f74e77a373d1ec31/
4.9,4.3,6000,ライオンズマンション横浜ウエスト,1R,16.72㎡,7,41,鉄骨鉄筋コンクリート,天王町,5,14,相鉄本線,保土ケ谷区,3.99,神奈川県横浜市西区南浅間町,敷 なし / 礼 なし,,,,,,,,,,,,https://realestate.yahoo.co.jp/rent/detail/00000115415107c705f27fa570283bdd85f9eaafc3a9/
4.9,4.4,5000,セントレー伊勢佐木,1R,19.1㎡,4,36,鉄骨鉄筋コンクリート,伊勢佐木長者町,5,4,ブルーライン,中区,11.11,神奈川県横浜市南区真金町1,敷 なし / 礼 なし,,○,○,○,,,○,○,,○,,https://realestate.yahoo.co.jp/rent/detail/000002036070a9bd162b51258683f14ef4650c80ebd8/
4.9,4.4,5000,スカイコート横浜山手,1R,15.07㎡,5,40,鉄筋コンクリート,山手,5,7,JR京浜東北・根岸線,中区,11.11,神奈川県横浜市中区大和町1,敷 4.4万円 / 礼 なし,,,○,,,○,,○,○,○,,https://realestate.yahoo.co.jp/rent/detail/0000011187257c9ef534a3f1e7d6a41897ac9beb6548/
4.9,4.4,5000,ライオンズステーションプラザ磯子,1R,17.1㎡,5,36,鉄骨鉄筋コンクリート,磯子,2,13,JR京浜東北・根岸線,磯子区,4.36,神奈川県横浜市磯子区森1,敷 なし / 礼 なし,,○,○,,,○,○,○,,○,,https://realestate.yahoo.co.jp/rent/detail/000003938065413e54af5e490e5724ea5aa9656a5056/
4.9,4.4,5000,根岸線 磯子駅 9階建 築36年,1R,17.1㎡,5,36,鉄骨鉄筋コンクリート,磯子,2,13,JR京浜東北・根岸線,磯子区,4.36,神奈川県横浜市磯子区森1,敷 なし / 礼 なし,,○,○,,,○,○,○,,○,,https://realestate.yahoo.co.jp/rent/detail/_000003938065413e54af5e490e5724ea5aa9656a5056/
4.9,4.4,5000,東急東横線 綱島駅 5階建 築37年,1R,16.5㎡,5,37,鉄筋コンクリート,綱島,14,21,東急東横線,港北区,4.78,神奈川県横浜市港北区綱島東4,敷 4.4万円 / 礼 なし,,,○,○,,,,,○,○,,https://realestate.yahoo.co.jp/rent/detail/_000004258884797dbb12b0eb84926c5aec4de2560304/
4.9,4.6,3000,JR京浜東北・根岸線 東神奈川駅 11階建 築39年,1R,16.16㎡,5,39,鉄骨鉄筋コンクリート,東神奈川,7,6,JR京浜東北・根岸線,神奈川区,4.71,神奈川県横浜市神奈川区東神奈川2,敷 4.6万円 / 礼 なし,,,○,,,○,,,○,○,,https://realestate.yahoo.co.jp/rent/detail/_000008485816fcc80826214bb85d42e904a7e6cb50df/
4.9,4.6,3000,京急本線 日ノ出町駅 地下1地上11階建 築38年,1R,15㎡,5,38,鉄骨鉄筋コンクリート,日ノ出町,1,8,京急本線,中区,11.11,神奈川県横浜市中区日ノ出町1,敷 なし / 礼 なし,,○,○,,,○,○,○,,○,,https://realestate.yahoo.co.jp/rent/detail/_000001783208abd04e852e9b284a6d79ca33479c3c82/
4.9,4.9,0,日神パレステージ根岸,1R,16.92㎡,3,35,鉄筋コンクリート,根岸,20,10,JR京浜東北・根岸線,中区,11.11,神奈川県横浜市磯子区丸山2,敷 4.9万円 / 礼 なし,,○,○,○,,,,,,○,,https://realestate.yahoo.co.jp/rent/detail/000001214444daae4110c63fc1d64ce2bbbee84b0665/
4.9,4.9,0,横浜市営地下鉄ブルーライン 片倉町駅 4階建 築39年,1R,19.44㎡,3,39,鉄骨,片倉町,10,13,ブルーライン,神奈川区,4.71,神奈川県横浜市神奈川区三枚町,敷 4.9万円 / 礼 なし,,,○,○,,,,,,,○,https://realestate.yahoo.co.jp/rent/detail/_0000009855786eb18189de42af509e34a2634569d443/
4.9,4.9,0,コーポラス城田,1R,19.44㎡,3,39,鉄骨,片倉町,10,13,ブルーライン,神奈川区,4.71,神奈川県横浜市神奈川区三枚町,敷 4.9万円 / 礼 なし,,,○,○,,,,,,,○,https://realestate.yahoo.co.jp/rent/detail/0000009855786eb18189de42af509e34a2634569d443/
4.95,4.15,8000,東急東横線 武蔵小杉駅 5階建 築39年,1R,15.43㎡,5,39,鉄筋コンクリート,武蔵小杉,13,23,東急東横線,中原区,4.01,神奈川県川崎市中原区上丸子八幡町,敷 なし / 礼 4.15万円,,,○,○,,,,,○,○,,https://realestate.yahoo.co.jp/rent/detail/_0000040462860b19f82054675fff89cacc2bb93ddd8e/
